Step,Hip_X,Hip_Z,Target_X,Target_Z
0,0,0,8.8,0
1,-0.01403952,-0.001204283,8.8,0
2,-0.01920176,-0.002248893,8.8,0
3,-0.01856712,2.609449E-05,8.8,0
4,-0.01595783,0.001019302,8.8,0
5,-0.01596036,-0.00013739,8.8,0
6,-0.01706203,-0.001686457,8.8,0
7,-0.01737537,-0.003729515,8.8,0
8,-0.01553511,-0.004035896,8.8,0
9,-0.0149295,-0.004946294,8.8,0
10,-0.01347163,-0.006219326,8.8,0
11,-0.01123703,-0.006463291,8.8,0
12,-0.00580605,-0.01028153,8.8,0
13,0.001254464,-0.01549154,8.8,0
14,0.01128949,-0.01941163,8.8,0
15,0.01999462,-0.02482557,8.8,0
16,0.02453752,-0.02827079,8.8,0
17,0.02837776,-0.03027095,8.8,0
18,0.03411934,-0.03280673,8.8,0
19,0.038256,-0.0351631,8.8,0
20,0.04721396,-0.0385844,8.8,0
21,0.05688399,-0.04315371,8.8,0
22,0.05981737,-0.05265665,8.8,0
23,0.0658194,-0.06028058,8.8,0
24,0.07001249,-0.06567331,8.8,0
25,0.07528594,-0.06965419,8.8,0
26,0.08258848,-0.07284179,8.8,0
27,0.09140326,-0.07588135,8.8,0
28,0.1069226,-0.08010309,8.8,0
29,0.127881,-0.085032,8.8,0
30,0.1415403,-0.08582955,8.8,0
31,0.1517972,-0.0884822,8.8,0
32,0.1628275,-0.08972566,8.8,0
33,0.1747825,-0.09294988,8.8,0
34,0.1878756,-0.09362359,8.8,0
35,0.2040504,-0.09521997,8.8,0
36,0.2171604,-0.09518474,8.8,0
37,0.2312944,-0.09341744,8.8,0
38,0.2514989,-0.09451799,8.8,0
39,0.2678743,-0.09724244,8.8,0
40,0.2829404,-0.09856064,8.8,0
41,0.2985872,-0.09978876,8.8,0
42,0.3183392,-0.09920384,8.8,0
43,0.3425774,-0.09652914,8.8,0
44,0.367264,-0.0930085,8.8,0
45,0.3939035,-0.09255629,8.8,0
46,0.4185205,-0.09208178,8.8,0
47,0.4475431,-0.09371787,8.8,0
48,0.4767993,-0.09587565,8.8,0
49,0.5003609,-0.0967614,8.8,0
50,0.5242567,-0.09664839,8.8,0
51,0.54303,-0.09602595,8.8,0
52,0.5674381,-0.09612497,8.8,0
53,0.592546,-0.09610816,8.8,0
54,0.6149667,-0.09411855,8.8,0
55,0.6339139,-0.09352813,8.8,0
56,0.6566602,-0.09259371,8.8,0
57,0.6779476,-0.09194718,8.8,0
58,0.6953622,-0.09194275,8.8,0
59,0.7145528,-0.09135791,8.8,0
60,0.7347591,-0.09312598,8.8,0
61,0.7558172,-0.09454206,8.8,0
62,0.7793041,-0.0977504,8.8,0
63,0.8047138,-0.1012119,8.8,0
64,0.8300789,-0.105716,8.8,0
65,0.8557907,-0.1087864,8.8,0
66,0.8842047,-0.1155866,8.8,0
67,0.9122077,-0.121143,8.8,0
68,0.9391037,-0.1284126,8.8,0
69,0.9662158,-0.1363787,8.8,0
70,0.9922218,-0.1442337,8.8,0
71,1.02127,-0.1520605,8.8,0
72,1.052893,-0.1572447,8.8,0
73,1.081677,-0.1636689,8.8,0
74,1.111039,-0.1718372,8.8,0
75,1.142743,-0.1791636,8.8,0
76,1.17524,-0.1879317,8.8,0
77,1.200842,-0.1930372,8.8,0
78,1.228346,-0.1955488,8.8,0
79,1.25172,-0.1975267,8.8,0
80,1.273776,-0.2024598,8.8,0
81,1.294877,-0.206647,8.8,0
82,1.320047,-0.2097111,8.8,0
83,1.338146,-0.2126464,8.8,0
84,1.354082,-0.2159119,8.8,0
85,1.380061,-0.21621,8.8,0
86,1.408752,-0.2178501,8.8,0
87,1.434557,-0.2186897,8.8,0
88,1.456633,-0.2205117,8.8,0
89,1.479123,-0.2220164,8.8,0
90,1.504823,-0.2228811,8.8,0
91,1.52915,-0.223964,8.8,0
92,1.554809,-0.2251495,8.8,0
93,1.579943,-0.2214225,8.8,0
94,1.606125,-0.2190598,8.8,0
95,1.631178,-0.2159744,8.8,0
96,1.665548,-0.2128838,8.8,0
97,1.700631,-0.2098251,8.8,0
98,1.732996,-0.2064016,8.8,0
99,1.760786,-0.2059472,8.8,0
100,1.788402,-0.2069769,8.8,0
101,1.81495,-0.2024583,8.8,0
102,1.839953,-0.1979925,8.8,0
103,1.866096,-0.1899076,8.8,0
104,1.893216,-0.1819733,8.8,0
105,1.917536,-0.176759,8.8,0
106,1.949325,-0.1697791,8.8,0
107,1.974777,-0.1653059,8.8,0
108,1.993312,-0.1604981,8.8,0
109,2.016604,-0.1583069,8.8,0
110,2.04324,-0.1545751,8.8,0
111,2.068344,-0.1497292,8.8,0
112,2.098616,-0.143774,8.8,0
113,2.130224,-0.1420717,8.8,0
114,2.163036,-0.1442688,8.8,0
115,2.196004,-0.1472077,8.8,0
116,2.228934,-0.1474406,8.8,0
117,2.260824,-0.1467127,8.8,0
118,2.291557,-0.1498044,8.8,0
119,2.324018,-0.1527033,8.8,0
120,2.353203,-0.1560378,8.8,0
121,2.386168,-0.1609924,8.8,0
122,2.419704,-0.1659582,8.8,0
123,2.450622,-0.1702112,8.8,0
124,2.485375,-0.1747227,8.8,0
125,2.519495,-0.1791317,8.8,0
126,2.552656,-0.1850322,8.8,0
127,2.589192,-0.1896891,8.8,0
128,2.619892,-0.1955942,8.8,0
129,2.647332,-0.1990456,8.8,0
130,2.670365,-0.1999806,8.8,0
131,2.694688,-0.2000112,8.8,0
132,2.717902,-0.2019424,8.8,0
133,2.744129,-0.2078284,8.8,0
134,2.765733,-0.2087136,8.8,0
135,2.786839,-0.209211,8.8,0
136,2.808995,-0.2070933,8.8,0
137,2.832018,-0.2073773,8.8,0
138,2.859183,-0.2054573,8.8,0
139,2.889902,-0.2019878,8.8,0
140,2.911898,-0.2011892,8.8,0
141,2.934987,-0.1971841,8.8,0
142,2.958558,-0.1954689,8.8,0
143,2.985407,-0.1931711,8.8,0
